ResId,ChapterId,BookId,Link,Valid,JWLINK
180900,109411,25532,494033244,yes,
361877,209364,32667,640680642,yes,
204310,122544,26340,509762125,yes,
375161,212396,33466,648036774,yes,
248780,151973,26900,548725441,yes,
265115,162587,31301,563666564,yes,
160292,98987,24847,475476533,yes,
218316,127728,27942,529339315,yes,
197456,115938,26338,502499669,yes,
207368,123187,26930,483035138,yes,
332806,195160,32067,623404659,yes,https://content.jwplatform.com/videos/gH5y2sQK-9YBrBxKD.m4a
370902,212376,32433,646359471,yes,
372677,212894,31818,647230728,yes,
205939,122855,26893,511904715,yes,
261365,159254,27185,559796268,yes,
266659,162791,27185,565980868,yes,
221129,129492,26337,529627263,yes,
263883,162166,28834,562735525,yes,
320819,192285,32067,605603262,yes,
173917,104530,24847,489825168,yes,
177029,106119,25530,492365249,yes,
233813,136476,28838,540536422,yes,
202696,121860,25526,507954447,yes,
378163,214654,32668,649376881,yes,
281881,171137,26899,578308105,yes,
213305,125118,26337,519818285,yes,
